gvkey,datadate,fyear,conm,FYR,AT,COGS,LT,NIADJ,OIADP,SALE,PERMNO
006066,19891231,1989,INTL BUSINESS MACHINES CORP,12,77734.0000,23461.0000,39225.0000,3758.0000,9313.0000,62710.0000,12490
006066,19901231,1990,INTL BUSINESS MACHINES CORP,12,87568.0000,26506.0000,44736.0000,6020.0000,11032.0000,69018.0000,12490
006066,19911231,1991,INTL BUSINESS MACHINES CORP,12,92473.0000,27325.0000,55467.0000,-2827.0000,4340.0000,64792.0000,12490
006066,19921231,1992,INTL BUSINESS MACHINES CORP,12,86705.0000,25848.0000,59081.0000,-4965.0000,3406.0000,64523.0000,12490
006066,19931231,1993,INTL BUSINESS MACHINES CORP,12,81113.0000,32790.0000,61375.0000,-8148.0000,308.0000,62716.0000,12490
006066,19941231,1994,INTL BUSINESS MACHINES CORP,12,81091.0000,34571.0000,57678.0000,2937.0000,5005.0000,64052.0000,12490
006066,19951231,1995,INTL BUSINESS MACHINES CORP,12,80292.0000,37618.0000,57869.0000,4116.0000,9919.0000,71940.0000,12490
006066,19961231,1996,INTL BUSINESS MACHINES CORP,12,81132.0000,41732.0000,59504.0000,5409.0000,9031.0000,75947.0000,12490
006066,19971231,1997,INTL BUSINESS MACHINES CORP,12,81499.0000,43881.0000,61683.0000,6073.0000,9098.0000,78508.0000,12490
006066,19981231,1998,INTL BUSINESS MACHINES CORP,12,86100.0000,46320.0000,66667.0000,6308.0000,9164.0000,81667.0000,12490
006066,19991231,1999,INTL BUSINESS MACHINES CORP,12,87495.0000,49460.0000,66984.0000,7692.0000,10075.0000,87548.0000,12490
006066,20001231,2000,INTL BUSINESS MACHINES CORP,12,88349.0000,51459.0000,67725.0000,8073.0000,11643.0000,88396.0000,12490
006066,20011231,2001,INTL BUSINESS MACHINES CORP,12,88313.0000,49889.0000,64699.0000,7713.0000,9295.0000,85866.0000,12490
006066,20021231,2002,INTL BUSINESS MACHINES CORP,12,96484.0000,47211.0000,73702.0000,3579.0000,8607.0000,81186.0000,12490
006066,20031231,2003,INTL BUSINESS MACHINES CORP,12,104457.0000,51649.0000,76593.0000,7583.0000,10601.0000,89131.0000,12490
006066,20041231,2004,INTL BUSINESS MACHINES CORP,12,109183.0000,55504.0000,79436.0000,8430.0000,11848.0000,96293.0000,12490
006066,20051231,2005,INTL BUSINESS MACHINES CORP,12,105748.0000,48889.0000,72650.0000,7934.0000,11714.0000,91134.0000,12490
006066,20061231,2006,INTL BUSINESS MACHINES CORP,12,103234.0000,47454.0000,74728.0000,9492.0000,12621.0000,91424.0000,12490
006066,20071231,2007,INTL BUSINESS MACHINES CORP,12,120431.0000,51045.0000,91961.0000,10418.0000,14360.0000,98786.0000,12490
006066,20081231,2008,INTL BUSINESS MACHINES CORP,12,109524.0000,51731.0000,96059.0000,12334.0000,16750.0000,103630.0000,12490
006066,20091231,2009,INTL BUSINESS MACHINES CORP,12,109022.0000,46272.0000,86267.0000,13425.0000,17719.0000,95758.0000,12490
006066,20101231,2010,INTL BUSINESS MACHINES CORP,12,113452.0000,48472.0000,90280.0000,14833.0000,18746.0000,99871.0000,12490
006066,20111231,2011,INTL BUSINESS MACHINES CORP,12,116433.0000,51320.0000,96197.0000,15855.0000,20949.0000,106916.0000,12490
